cve,repo,commit
CVE-2019-11938,fbthrift,08c2d412adb214c40bb03be7587057b25d053030
CVE-2019-11938,fbthrift,71c97ffdcb61cccf1f8267774e873e21ebd3ebd3
CVE-2019-3553,fbthrift,3f156207e8a6583d88999487e954320dc18955e6
CVE-2019-3553,fbthrift,c9a903e5902834e95bbd4ab0e9fa53ba0189f351
CVE-2018-1000201,ffi,e0fe486df0e117ed67b0282b6ada04b7214ca05c
CVE-2018-1000201,ffi,09e0c6076466b4383da7fa4e13f714311109945a
CVE-2012-1571,file,1aec04dbf8a24b8a6ba64c4f74efa0628e36db0b
CVE-2012-1571,file,1859fdb4e67c49c463c4e0078054335cd46ba295
CVE-2014-3538,file,4a284c89d6ef11aca34da65da7d673050a5ea320
CVE-2014-3538,file,758e066df72fb1ac08d2eea91ddc3973d259e991
CVE-2014-3538,file,69a5a43b3b71f53b0577f41264a073f495799610
CVE-2014-3538,file,74cafd7de9ec99a14f4480927580e501c8f852c3
CVE-2014-3538,file,71a8b6c0d758acb0f73e2e51421a711b5e9d6668
CVE-2014-8116,file,d7cdad007c507e6c79f51f058dd77fab70ceb9f6
CVE-2014-8116,file,b4c01141e5367f247b84dcaf6aefbb4e741842b8
CVE-2019-14667,firefly-iii,427de0594d05a8222f55b2894311e648ba1be991
CVE-2019-14667,firefly-iii,15d4d185bbedf2bb9db4a8fa2ccf9fc359a06194
CVE-2019-11924,fizz,3eaddb33619eaaf74a760872850c550ad8f5c52f
CVE-2019-11924,fizz,6bf67137ef1ee5cd70c842b014c322b7deaf994b
CVE-2021-21261,flatpak,cc1401043c075268ecc652eac557ef8076b5eaba
CVE-2021-21261,flatpak,6d1773d2a54dde9b099043f07a2094a4f1c2f486
CVE-2021-21261,flatpak,aeb6a7ab0abaac4a8f4ad98b3df476d9de6b8bd4
CVE-2021-21261,flatpak,6e5ae7a109cdfa9735ea7ccbd8cb79f9e8d3ae8b
CVE-2021-21381,flatpak,a7401e638bf0c03102039e216ab1081922f140ae
CVE-2021-21381,flatpak,8279c5818425b6812523e3805bbe242fb6a5d961
CVE-2021-21381,flatpak,eb7946bb6248923d8c90fe9b84425fef97ae580d
CVE-2021-41133,flatpak,1330662f33a55e88bfe18e76de28b7922d91a999
CVE-2021-41133,flatpak,a10f52a7565c549612c92b8e736a6698a53db330
CVE-2021-41133,flatpak,4c34815784e9ffda5733225c7d95824f96375e36
CVE-2021-41133,flatpak,89ae9fe74c6d445bb1b3a40e568d77cf5de47e48
CVE-2021-41133,flatpak,462fca2c666e0cd2b60d6d2593a7216a83047aaf
CVE-2021-41133,flatpak,e26ac7586c392b5eb35ff4609fe232c52523b2cf
CVE-2021-41133,flatpak,26b12484eb8a6219b9e7aa287b298a894b2f34ca
CVE-2021-41133,flatpak,9766ee05b1425db397d2cf23afd24c7f6146a69f
CVE-2021-43860,flatpak,d9a8f9d8ccc0b7c1135d0ecde006a75d25f66aee
CVE-2021-43860,flatpak,65cbfac982cb1c83993a9e19aa424daee8e9f042
CVE-2021-43860,flatpak,93357d357119093804df05acc32ff335839c6451
CVE-2021-43860,flatpak,ba818f504c926baaf6e362be8159cfacf994310e
CVE-2021-43860,flatpak,54ec1a482dfc668127eaae57f135e6a8e0bc52da
CVE-2022-21682,flatpak,4d11f77aa7fd3e64cfa80af89d92567ab9e8e6fa
CVE-2022-21682,flatpak,445bddeee657fdc8d2a0a1f0de12975400d4fc1a
CVE-2022-24719,fluture-node,0c99bc511533d48be17dc6bfe641f7d0aeb34d77
CVE-2022-24719,fluture-node,125e4474f910c1507f8ec3232848626fbc0f55c4
CVE-2022-24772,forge,3f0b49a0573ef1bb7af7f5673c0cfebf00424df1
CVE-2022-24772,forge,bb822c02df0b61211836472e29b9790cc541cdb2
CVE-2022-24773,forge,3f0b49a0573ef1bb7af7f5673c0cfebf00424df1
CVE-2022-24773,forge,bb822c02df0b61211836472e29b9790cc541cdb2
CVE-2012-1188,forkcms,995220182068518e89019a265d113518f6566407
CVE-2012-1188,forkcms,1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9
CVE-2012-1208,forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf
CVE-2012-1208,forkcms,8fa74dd3e2e32723cd121177dce6aeac37e29df6
CVE-2012-1208,forkcms,d65c083adc91c88d21bd9a0df4c2688df634c6ff
CVE-2012-1209,forkcms,df75e0797a6540c4d656969a2e7df7689603b2cf
CVE-2012-1209,forkcms,c8ec9c58a6b3c46cdd924532c1de99bcda6072ed
